Mmax,C_I,C_m,C_tot
0.75,7.02395,0.549412,1.954202
0.7524271844660194,6.850700000000001,0.553856,1.9239960000000003
0.7548543689320388,6.6717,0.55842,1.89276
0.7572815533980582,6.4868,0.563106,1.8604660000000002
0.7597087378640777,6.2959499999999995,0.567914,1.827104
0.7621359223300971,6.0992,0.57284,1.79268
0.7645631067961165,5.8967,0.577884,1.757224
0.7669902912621359,5.6887,0.58304,1.72078
0.7694174757281553,5.4754499999999995,0.5883060000000001,1.6833960000000001
0.7718446601941747,5.25735,0.593676,1.645146
0.7742718446601942,5.0348,0.5991500000000001,1.6061100000000001
0.7766990291262136,4.8081499999999995,0.60472,1.56635
0.779126213592233,4.57775,0.610388,1.525938
0.7815533980582524,4.343920000000001,0.616154,1.484938
0.7839805825242718,4.10688,0.6220140000000001,1.4433900000000002
0.7864077669902912,3.86679,0.6279720000000001,1.4013300000000002
0.7888349514563107,3.62371,0.634028,1.35877
0.7912621359223301,3.377605,0.6401840000000001,1.3157050000000001
0.7936893203883495,3.128335,0.646442,1.272109
0.7961165048543689,2.875645,0.6527980000000001,1.2279270000000002
0.7985436893203883,2.61914,0.6592520000000001,1.18308
0.8009708737864077,2.358205,0.66579,1.1374309999999999
0.8033980582524272,2.091955,0.672392,1.090783
0.8058252427184466,1.81919,0.6790060000000001,1.042844
0.808252427184466,1.53965,0.68549,0.9934200000000001
0.8106796116504854,1.266775,0.691304,0.944659
0.8131067961165048,1.069975,0.695168,0.9091629999999999
0.8155339805825242,0.9777849999999999,0.697242,0.892799
0.8179611650485437,0.931045,0.6987320000000001,0.8849410000000002
0.8203883495145631,0.895325,0.700078,0.879143
0.8228155339805825,0.85459,0.701288,0.872206
0.8252427184466019,0.7974450000000001,0.7020360000000001,0.8615250000000001
0.8276699029126213,0.712015,0.701432,0.8438350000000001
0.8300970873786407,0.6225999999999999,0.699138,0.823658
0.8325242718446602,0.5789799999999999,0.697818,0.8136140000000001
0.8349514563106796,0.556285,0.6972260000000001,0.8084830000000001
0.837378640776699,0.54106,0.69672,0.804932
0.8398058252427184,0.5278499999999999,0.695886,0.801456
0.8422330097087378,0.5139199999999999,0.694602,0.797386
0.8446601941747572,0.5002449999999999,0.6934020000000001,0.7934510000000001
0.8470873786407767,0.4888745,0.6926960000000001,0.7904709000000001
0.8495145631067961,0.47972,0.69235,0.788294
0.8519417475728155,0.472095,0.692192,0.7866110000000001
0.8543689320388349,0.4655065,0.69213,0.7852313
0.8567961165048543,0.4596545,0.6921160000000001,0.7840469000000001
0.8592233009708737,0.4543535,0.692134,0.7830047
0.8616504854368932,0.4494845,0.692176,0.7820729
0.8640776699029126,0.4449725,0.6922480000000001,0.7812425000000001
0.866504854368932,0.440788,0.692402,0.7805595999999999
0.8689320388349514,0.43712249999999997,0.693034,0.7804585
0.8713592233009708,0.43369749999999996,0.693326,0.7800655
0.8737864077669902,0.43361849999999996,0.6994220000000001,0.7861457000000001
0.8762135922330097,0.4369035,0.711538,0.7989187
0.8786407766990292,0.4404,0.7242740000000001,0.8123540000000001
0.8810679611650485,0.444021,0.73732,0.8261242
0.883495145631068,0.44675349999999997,0.74986,0.8392107
0.8859223300970873,0.449941,0.7625200000000001,0.8525082
0.8883495145631068,0.453657,0.775946,0.8666774
0.8907766990291262,0.4563045,0.790794,0.8820549
0.8932038834951457,0.45941150000000003,0.8060180000000001,0.8979003000000001
0.895631067961165,0.462614,0.820876,0.9133988000000001
0.8980582524271845,0.465346,0.8357480000000002,0.9288172000000001
0.9004854368932038,0.467361,0.85192,0.9453922
0.9029126213592233,0.4698595,0.869182,0.9631539
0.9053398058252426,0.472617,0.886854,0.9813774000000001
0.9077669902912622,0.475224,0.9046200000000001,0.9996648000000001
0.9101941747572815,0.4774935,0.9228360000000001,1.0183347
0.912621359223301,0.479221,0.942278,1.0381221999999999
0.9150485436893203,0.4808705,0.9632580000000002,1.0594321000000002
0.9174757281553398,0.48295899999999997,0.98532,1.0819117999999999
0.9199029126213591,0.485123,1.0083460000000002,1.1053706
0.9223300970873787,0.487205,1.032222,1.1296629999999999
0.924757281553398,0.48914599999999997,1.056908,1.1547372
0.9271844660194175,0.49089499999999997,1.08273,1.180909
0.9296116504854368,0.49237049999999993,1.1100700000000001,1.2085441000000001
0.9320388349514563,0.49347499999999994,1.1394819999999999,1.2381769999999999
0.9344660194174756,0.4944625,1.171172,1.2700645000000002
0.9368932038834952,0.4957335,1.2049940000000001,1.3041407
0.9393203883495145,0.49714050000000004,1.2410700000000001,1.3404981
0.941747572815534,0.498539,1.279608,1.3793158
0.9441747572815533,0.49988150000000003,1.3208280000000001,1.4208043000000001
0.9466019417475728,0.50115,1.364918,1.4651480000000001
0.9490291262135923,0.502335,1.412108,1.512575
0.9514563106796117,0.5034150000000001,1.462908,1.5635910000000002
0.9538834951456311,0.504355,1.5180440000000002,1.618915
0.9563106796116505,0.50509,1.57837,1.679388
0.9587378640776699,0.505505,1.6451760000000002,1.746277
0.9611650485436893,0.5056550000000001,1.7196580000000001,1.8207890000000002
0.9635922330097088,0.505965,1.8026,1.903793
0.9660194174757282,0.50646,1.89541,1.996702
0.9684466019417476,0.50697,1.9999980000000002,2.101392
0.970873786407767,0.507425,2.11882,2.2203049999999998
0.9733009708737864,0.507795,2.2551,2.356659
0.9757281553398058,0.508085,2.41296,2.514577
0.9781553398058253,0.50828,2.5979,2.6995560000000003
0.9805825242718447,0.508365,2.81808,2.919753
0.9830097087378641,0.508285,3.0862,3.1878569999999997
0.9854368932038835,0.507925,3.4222200000000003,3.5238050000000003
0.9878640776699029,0.5071,3.85866,3.96008
0.9902912621359223,0.5062899999999999,4.44698,4.548238
0.9927184466019418,0.5059199999999999,5.28662,5.387804
0.9951456310679612,0.5056849999999999,6.59614,6.697277
0.9975728155339806,0.505445,8.97292,9.074009
1.0,0.505165,14.97098,15.072013
